,file_name,caption
132871,COCO_val2014_000000246955.jpg,Green commercial building with refrigerator and refrigeration units outside.
31526,COCO_val2014_000000126876.jpg,An airplane with two propellor engines flying in the sky.
145411,COCO_val2014_000000188798.jpg,Four cows in a pen on a sunny day 
171731,COCO_val2014_000000283152.jpg,Three dogs sleeping together on an unmade bed
60667,COCO_val2014_000000316107.jpg,A baseball card with an old school player.
85384,COCO_val2014_000000379837.jpg,A woman holding a cake is looking at an excited child in a high chair. 
146454,COCO_val2014_000000169736.jpg,A dish on a counter containing beef and broccoli.
68158,COCO_val2014_000000563926.jpg,A big rig is driving through a construction site. 
86151,COCO_val2014_000000144984.jpg,A boy wearing an orange t-shirt playing a video game while sitting on a couch.
135670,COCO_val2014_000000568148.jpg,a woman holding a frisbee standing net to table and chairs.
118786,COCO_val2014_000000362714.jpg,A busy street with a streetlight and lots of cars.
122065,COCO_val2014_000000068418.jpg,"This is a computer monitor, keyboard, and mouse."
177513,COCO_val2014_000000426546.jpg,"a plate with  a sandwich, fires, and coleslaw sitting side by side"
37203,COCO_val2014_000000213728.jpg,A man standing near an extended tour bus parked in a parking lot.
132517,COCO_val2014_000000326854.jpg,"A room in a private house for loosening up and institutionalizing. 
"
174605,COCO_val2014_000000002388.jpg,A bathroom with a white toilet and shower
128033,COCO_val2014_000000071929.jpg,A plate filled with a serving of food to be eaten
200959,COCO_val2014_000000055280.jpg,A bunch of cows caged in at a factory
4805,COCO_val2014_000000162952.jpg,A young lady is on her phone as a lady in the background looks on. 
72284,COCO_val2014_000000027982.jpg,a toilet with the toilet seat left up and the sink next to it
4827,COCO_val2014_000000169891.jpg,The white fridge stands alone in its own space.
39509,COCO_val2014_000000234677.jpg,A cartoon character standing on the beach by a surf boards standing in the sand.
44161,COCO_val2014_000000184978.jpg,A snowboarder headed down a hill in front of trees.
8270,COCO_val2014_000000099807.jpg,A woman and two dogs are skiing in snow.
79176,COCO_val2014_000000259189.jpg,Two people walking in the ocean away from a boat. 
12770,COCO_val2014_000000260774.jpg,A dog sleeps on the ground in someones bedroom.
136503,COCO_val2014_000000564366.jpg,A boys skateboarding is about to slide on a pole.
132333,COCO_val2014_000000167656.jpg,A tennis match in progress with one of the contestants throwing the ball into the air getting ready to serve.
43744,COCO_val2014_000000053893.jpg,Three zebras eating hay from a trough at the zoo.
11305,COCO_val2014_000000235296.jpg,A woman sitting on a bench overlooking a body of water.
48988,COCO_val2014_000000294373.jpg,A man riding a horse next to another man on a horse.
10752,COCO_val2014_000000293044.jpg,"a tray of food on a wooden table with bread, carrots, sauce, nuts and a muffin."
128673,COCO_val2014_000000395324.jpg,a blue motorcycle is standing out in the open
104224,COCO_val2014_000000127477.jpg,A big furry black and white cat is sitting on top of a leather suitcase.
188747,COCO_val2014_000000564822.jpg,A person flying a kite at the beach with another person.
162077,COCO_val2014_000000475685.jpg,Woman bent slightly on skis wearing goggles and snowsuit.
157271,COCO_val2014_000000422095.jpg,A bed that has a large painting behind it.
177938,COCO_val2014_000000070626.jpg,A small pizza on a plate with a fork beside it on a table.
18215,COCO_val2014_000000200627.jpg,A plate of food that includes rice and various vegetables.
95808,COCO_val2014_000000220871.jpg,A bearded man in a wetsuit holding a surfboard. 
91947,COCO_val2014_000000315899.jpg,A young man holding a walkie talkie while wearing an orange shirt.
143442,COCO_val2014_000000381332.jpg,A man smiles while holding a wine glass
114384,COCO_val2014_000000099741.jpg,a stop sign and no outlet sign by a snowy mountain
66418,COCO_val2014_000000522935.jpg,A women who is holding up a cell phone.
10170,COCO_val2014_000000537692.jpg,A tray of scissors is on a table with a lamp and candles.
142927,COCO_val2014_000000433822.jpg,a man looking at a cell phone with a magnifying lens
139087,COCO_val2014_000000436280.jpg,Jet airplane in flight landing gear extended down
181362,COCO_val2014_000000328026.jpg,A man is looking through a selection of ties.
19027,COCO_val2014_000000048668.jpg,A may laying in on a bed with his right breasteses hanging out.
49280,COCO_val2014_000000023781.jpg,Various fruits and vegetables are on display close together.
128175,COCO_val2014_000000045229.jpg,A kitchen filled with a wooden cabinet and a large window.
75341,COCO_val2014_000000084498.jpg,A boy is walking with a wet suit and carrying his surf board under his arm.
168356,COCO_val2014_000000092248.jpg,A sculpture of iron standing in front of a tall white building.
78211,COCO_val2014_000000450607.jpg,A double deck bus that is next to a building.
28315,COCO_val2014_000000008711.jpg,"Two donuts, banana, cup and a book on the table."
7142,COCO_val2014_000000514525.jpg,"A container with three sections, each containing different fruits and vegetables."
49765,COCO_val2014_000000157052.jpg,A plate with hot dogs and cherry tomatoes 
155884,COCO_val2014_000000369934.jpg,The elephant is walking around in the park.
109382,COCO_val2014_000000028293.jpg,A green truck traveling down a road with a wooden flatbed.
